,Year,State,Cattle production in lb,Corn production in tons,Soybeans production in bu,short,TMAX,TMIN,TAVG,EMXT,EMNT,DX90,DT32,PRCP,SNOW,AWND
0,1988,alabama,"671,520,000","160,000",14250000.0,AL,23.51294117647059,10.13822222222222,16.75772727272727,37.796078431372564,-10.46,67.56862745098039,63.2,1286.1941176470586,19.87619047619048,3.3
1,1989,alabama,"680,350,000","250,000",11970000.0,AL,22.94277777777777,10.65,16.725833333333334,35.744444444444426,-16.494,44.814814814814824,50.36,1635.6486238532107,4.766355140186916,3.22
2,1990,alabama,"641,115,000","200,000",7480000.0,AL,25.11061538461539,11.21951612903226,18.175161290322578,38.084615384615404,-7.325806451612901,84.2,38.048387096774185,1443.0634146341465,0.024,3.34
3,1991,alabama,"659,250,000","350,000",8050000.0,AL,23.85637931034482,11.57962962962963,17.725471698113214,36.210344827586205,-9.618518518518519,60.55172413793103,50.574074074074076,1594.3113043478259,1.5952380952380951,3.2
4,1992,alabama,"525,310,000","325,000",7830000.0,AL,22.826,10.168,16.454600000000006,35.67090909090909,-8.515999999999998,34.63636363636363,51.78,1496.4239999999998,20.207207207207208,3.14
5,1993,alabama,"508,476,000","225,000",7080000.0,AL,23.14476190476191,10.2685,16.697118644067793,37.211111111111116,-10.034999999999998,72.12698412698413,55.6,1275.0530612244895,106.99090909090908,3.2
6,1994,alabama,"504,349,000","300,000",9145000.0,AL,23.32379310344828,10.834528301886792,17.038076923076922,34.1396551724138,-11.96415094339623,29.948275862068964,48.150943396226424,1544.2109999999993,0.9339622641509434,3.18
7,1995,alabama,"544,968,000","160,000",5400000.0,AL,23.449636363636365,10.37181818181818,16.87826923076923,37.54363636363637,-10.40181818181818,72.89090909090909,62.29090909090909,1531.1352380952374,12.277777777777779,3.175
8,1996,alabama,"535,183,000","165,000",10370000.0,AL,23.093437500000004,10.011964285714287,16.59166666666667,35.88437499999999,-14.72321428571429,54.25,67.375,1501.4061946902661,20.568965517241377,3.1666666666666665
9,1997,alabama,"556,289,000","280,000",8500000.0,AL,22.92225806451614,10.563214285714283,16.767818181818182,35.94999999999999,-10.780357142857143,52.838709677419345,47.75,1613.843396226415,11.982456140350877,3.0666666666666664
10,1998,alabama,"594,350,000","210,000",7040000.0,AL,24.533442622950826,11.92280701754386,18.20163636363636,37.43934426229508,-6.440350877192983,93.78688524590164,39.368421052631575,1513.3955752212394,2.0,2.9750000000000005
11,1999,alabama,"608,358,000","165,000",3200000.0,AL,24.573728813559324,11.044545454545457,17.81259259259259,38.2457627118644,-11.134545454545457,63.135593220338976,49.56363636363636,1263.9619047619049,0.6261682242990654,2.5800000000000005
12,2000,alabama,"502,932,000","225,000",2880000.0,AL,24.327894736842094,10.73903846153846,17.52882352941177,39.447368421052644,-10.457692307692307,84.10526315789474,58.730769230769226,1092.8346938775503,18.29,2.6181818181818177
13,2001,alabama,"493,218,000","325,000",4725000.0,AL,23.56126984126984,10.818771929824562,17.187678571428574,34.83968253968254,-9.9,40.857142857142854,49.0,1542.506000000001,9.07766990291262,2.4416666666666664
14,2002,alabama,"496,245,000","180,000",3720000.0,AL,23.655645161290327,11.455263157894738,17.569821428571437,36.5790322580645,-8.86140350877193,70.90322580645163,59.66666666666666,1439.3629999999994,13.333333333333336,2.607692307692308
15,2003,alabama,"522,247,000","240,000",5760000.0,AL,23.10707692307692,10.894262295081965,17.005499999999998,34.17692307692309,-12.604918032786887,35.36923076923077,56.39344262295082,1634.5852941176474,0.5294117647058824,2.5538461538461537
16,2004,alabama,"518,834,000","170,000",6650000.0,AL,23.33461538461539,11.341499999999995,17.32220338983051,35.418461538461536,-8.071666666666667,40.815384615384616,50.1,1530.5670103092787,0.3564356435643564,2.6461538461538456
17,2005,alabama,"489,920,000","240,000",4785000.0,AL,23.71861111111112,11.01183098591549,17.367887323943652,36.06388888888886,-7.764788732394362,60.305555555555564,53.16901408450703,1460.815625,0.0,2.5769230769230766
18,2006,alabama,"464,130,000","80,000",3000000.0,AL,24.653188405797096,11.109117647058824,17.881363636363638,37.90869565217392,-8.419117647058822,88.3768115942029,47.5,1218.8936170212774,0.6483516483516484,2.691666666666667
19,2007,alabama,"455,778,000","80,000",3885000.0,AL,24.665942028985505,11.057794117647056,17.845671641791046,39.6231884057971,-8.185294117647057,80.2463768115942,51.897058823529406,949.4336633663364,1.3617021276595744,2.458333333333333
20,2008,alabama,"448,141,000","150,000",12250000.0,AL,23.263684210526318,10.382972972972972,16.809452054794527,36.81710526315789,-9.558108108108106,56.526315789473685,66.12162162162164,1392.4516304347821,6.845454545454547,2.6700000000000004
21,2009,alabama,"449,498,000","117,000",17200000.0,AL,22.832159090909094,10.953764705882351,16.893411764705895,36.121590909090905,-10.23529411764706,43.26136363636363,54.07058823529411,1863.4020202020195,10.333333333333334,2.453846153846154
22,2010,alabama,"504,929,000","135,000",8970000.0,AL,23.3915625,10.34726315789474,16.85978494623657,38.13854166666669,-11.020000000000005,93.625,72.3578947368421,1252.5234146341459,30.589285714285715,2.2846153846153845
23,2011,alabama,"439,354,000","45,000",9735000.0,AL,24.16147368421052,10.963260869565218,17.550760869565217,38.124210526315814,-9.918478260869565,87.05263157894737,51.58695652173913,1364.9150753768838,137.53846153846158,2.325
24,2012,alabama,"506,210,000","84,000",13108000.0,AL,24.63031578947368,11.749021739130434,18.193586956521738,38.64736842105262,-7.458695652173914,56.084210526315786,38.15217391304348,1377.1560606060611,0.2307692307692308,2.1
25,2013,alabama,"474,507,000","153,000",17391250.0,AL,22.8440243902439,11.168048780487807,16.96899999999999,34.53536585365854,-6.356097560975607,40.41463414634146,52.26829268292683,1679.1887096774185,8.090909090909092,2.29375
26,2014,alabama,"468,969,000","153,000",20192000.0,AL,22.934767441860448,10.133720930232553,16.533953488372095,36.02093023255813,-14.016279069767439,55.5232558139535,65.90697674418605,1480.446195652174,81.72727272727273,2.353333333333333
27,2015,alabama,"483,702,000","135,000",20026000.0,AL,23.888589743589744,12.060253164556961,17.970649350649353,36.82692307692308,-12.112658227848106,65.11538461538461,49.40506329113924,1584.5751351351348,108.88888888888887,2.457142857142857
